Programme;Station;datetime;cost;profit;order_sum;male in %;new customer in %;vis
1226;25;2020-01-02 08:31:00;8.0;-0.5749450082277521;0.02317587742088467;11.743177862113374;16.801094852766468;245
722;26;2020-01-02 08:47:00;8.0;0.5478391532839685;0.007444825841466836;5.908369905054633;38.51919872052347;208
32;46;2020-01-02 09:00:00;5.0;0.0;0.0;8.1739930690234;28.58821624200953;9
1296;31;2020-01-02 09:01:00;5.0;-0.25717027324010533;0.001283580743615576;21.482178673526963;69.40896878190443;9
836;0;2020-01-02 09:02:00;21.0;-12.354106730630122;0.06575147267633587;30.349253030426127;62.36605812060802;54
1423;23;2020-01-02 09:02:00;17.0;-10.011148588275928;0.053281696298506;27.441876279056064;71.05316453199089;45
891;4;2020-01-02 09:08:00;27.0;0.46804788416128745;0.010013433778827824;4.9679256282229804;28.198381740979258;18
890;11;2020-01-02 09:09:00;9.0;0.24621941345264853;0.0052676272558906025;92.11955560064438;42.80823197511657;27
18;34;2020-01-02 09:10:00;5.0;0.3576991971728709;0.009550437974817957;87.27126790552384;0.0;36
499;18;2020-01-02 09:13:00;9.0;-0.5096102820718671;0.0033305955985923254;58.01216764946716;64.08346976200788;81
81;26;2020-01-02 09:13:00;8.0;-0.43094375839978394;0.002816464728952905;85.85846723722209;0.0;72
1462;30;2020-01-02 09:25:00;11.0;1.1228932461175178;0.011516713361596693;27.59745941755569;44.99491671646213;45
61;25;2020-01-02 09:27:00;8.0;0.13975649671259813;0.005567734096759252;6.979011310137995;59.048991748979915;36
639;35;2020-01-02 09:27:00;10.0;0.15962384183350667;0.006359225708553462;14.153988033542209;0.5368875808043541;45
795;38;2020-01-02 09:29:00;12.0;3.276185632516079;0.006136179721694439;95.64509288732414;72.6686282847045;54
890;11;2020-01-02 09:31:00;9.0;0.0;0.0;46.15024416340569;49.441159760139925;18
807;21;2020-01-02 09:31:00;6.0;0.0;0.0;67.88978101182315;69.78042566468513;9
62;40;2020-01-02 09:31:00;16.0;0.0;0.0;91.95407954198997;4.453740247816192;27
